start_tz,start,end_tz,end,activity
UTC,1459502016,UTC,1459506431,work
UTC,1459507641,UTC,1459510029,work
UTC,1459512066,UTC,1459517109,work
UTC,1459530358,UTC,1459533168,work
UTC,1459760242,UTC,1459764424,work
UTC,1459765266,UTC,1459766613,work
UTC,1459766619,UTC,1459769680,study
UTC,1459769854,UTC,1459770488,study
UTC,1459771746,UTC,1459772181,work
UTC,1459775433,UTC,1459777500,work
UTC,1459780087,UTC,1459781374,work
UTC,1459795805,UTC,1459801442,study
UTC,1459841402,UTC,1459849295,work
UTC,1459851033,UTC,1459853353,work
UTC,1459854245,UTC,1459855606,work
UTC,1459857766,UTC,1459859488,work
UTC,1459862853,UTC,1459873246,work
UTC,1459927367,UTC,1459934230,work
UTC,1459934822,UTC,1459936789,study
UTC,1459941753,UTC,1459945353,work
UTC,1459945396,UTC,1459953082,work
UTC,1459953881,UTC,1459961981,work
UTC,1460017090,UTC,1460019564,work
UTC,1460021775,UTC,1460032528,work
UTC,1460050348,UTC,1460054305,work
UTC,1460100629,UTC,1460109170,work
UTC,1460113372,UTC,1460115786,work
UTC,1460119020,UTC,1460127116,work
UTC,1460358256,UTC,1460358919,work
UTC,1460359895,UTC,1460374117,work
UTC,1460375755,UTC,1460377965,work
UTC,1460381012,UTC,1460385761,work
UTC,1460442056,UTC,1460455819,work
UTC,1460459152,UTC,1460472878,work
UTC,1460531767,UTC,1460532482,work
UTC,1460534214,UTC,1460542829,work
UTC,1460543676,UTC,1460548635,work
UTC,1460553216,UTC,1460560389,work
UTC,1460562058,UTC,1460565731,work
UTC,1460962840,UTC,1460964982,work
UTC,1460969670,UTC,1460972488,work
UTC,1460981430,UTC,1460983158,work
UTC,1460986206,UTC,1460991781,work
UTC,1461069906,UTC,1461079393,work
UTC,1461311337,UTC,1461324383,work
UTC,1461326599,UTC,1461329042,work
UTC,1461331871,UTC,1461333384,work
UTC,1461333878,UTC,1461340214,work
UTC,1461486411,UTC,1461490371,work
UTC,1462261443,UTC,1462263127,work
UTC,1462264821,UTC,1462268337,work
UTC,1462273940,UTC,1462275904,work
UTC,1462281552,UTC,1462290552,work
UTC,1462344264,UTC,1462346345,work
UTC,1462348883,UTC,1462352849,work
UTC,1462354091,UTC,1462357345,work
UTC,1462362597,UTC,1462364410,work
UTC,1462364878,UTC,1462374503,work
UTC,1462434942,UTC,1462440952,work
UTC,1462442037,UTC,1462442641,work
UTC,1462447217,UTC,1462452512,work
UTC,1462456797,UTC,1462461429,work
UTC,1462519937,UTC,1462532112,work
UTC,1462535304,UTC,1462537798,work
UTC,1462538765,UTC,1462545983,work
UTC,1462776938,UTC,1462781554,work
UTC,1462782129,UTC,1462796529,work
UTC,1462800129,UTC,1462814529,work
UTC,1462963423,UTC,1462970579,work
UTC,1462973104,UTC,1462989166,work
UTC,1463035781,UTC,1463067366,work
UTC,1463123203,UTC,1463132553,work
UTC,1463136600,UTC,1463159473,work
UTC,1463382123,UTC,1463394353,work
UTC,1463418715,UTC,1463420615,work
UTC,1463469029,UTC,1463477766,work
UTC,1463482125,UTC,1463484892,work
UTC,1463486724,UTC,1463490922,work
UTC,1463556735,UTC,1463557910,work
UTC,1463560790,UTC,1463569403,work
UTC,1463582640,UTC,1463595983,work
UTC,1463643075,UTC,1463656545,work
UTC,1463658812,UTC,1463668968,work
UTC,1463985192,UTC,1464005024,work
UTC,1464011857,UTC,1464018650,work
UTC,1464073835,UTC,1464089665,work
UTC,1464092265,UTC,1464104865,work
UTC,1464163838,UTC,1464170438,work
UTC,1464185402,UTC,1464187419,work
UTC,1464191364,UTC,1464191973,work
UTC,1464194562,UTC,1464199346,work
UTC,1464249066,UTC,1464253311,work
UTC,1464257208,UTC,1464277984,work
UTC,1464335281,UTC,1464338048,work
UTC,1464338678,UTC,1464343268,work
UTC,1464346521,UTC,1464360671,work
UTC,1464460354,UTC,1464463854,work
UTC,1464515438,UTC,1464517445,work
UTC,1464520187,UTC,1464526717,work
UTC,1464531998,UTC,1464535002,work
UTC,1464538088,UTC,1464539640,work
UTC,1464552770,UTC,1464559634,work
UTC,1464596151,UTC,1464600439,work
UTC,1464602755,UTC,1464605150,work
UTC,1464681136,UTC,1464685199,work
UTC,1464685910,UTC,1464689967,work
UTC,1464691120,UTC,1464705588,work
UTC,1464707555,UTC,1464708640,work
UTC,1464766275,UTC,1464770129,work
UTC,1464771521,UTC,1464777714,work
UTC,1464779003,UTC,1464779482,work
UTC,1464782141,UTC,1464795280,work
UTC,1464798459,UTC,1464816027,work
UTC,1464860773,UTC,1464876655,work
UTC,1464879203,UTC,1464886294,work
UTC,1464887286,UTC,1464891203,work
UTC,1464901601,UTC,1464912200,work
UTC,1464940643,UTC,1464948797,work
UTC,1464949585,UTC,1464949892,work
UTC,1464956086,UTC,1464962161,work
UTC,1465043857,UTC,1465045703,work
UTC,1465046377,UTC,1465056461,work
UTC,1465067228,UTC,1465080211,work
UTC,1465115199,UTC,1465120191,work
UTC,1465197186,UTC,1465213803,work
UTC,1465215467,UTC,1465230217,work
UTC,1465235253,UTC,1465238687,work
UTC,1465284297,UTC,1465318404,work
UTC,1465332229,UTC,1465340315,work
UTC,1465371201,UTC,1465389960,work
UTC,1465392775,UTC,1465406081,work
UTC,1465456259,UTC,1465465560,work
UTC,1465548655,UTC,1465562735,work
UTC,1465566927,UTC,1465574165,work
UTC,1465736676,UTC,1465749106,work
UTC,1465800198,UTC,1465819677,work
UTC,1465821942,UTC,1465827477,work
UTC,1465898967,UTC,1465904404,work
UTC,1465907731,UTC,1465925912,work
UTC,1465973268,UTC,1465986047,work
UTC,1465991502,UTC,1466004150,work
UTC,1466066942,UTC,1466085107,work
UTC,1466086502,UTC,1466092708,work
UTC,1466149080,UTC,1466171463,work
UTC,1466407746,UTC,1466423448,work
UTC,1466424406,UTC,1466441210,work
